0	1
ご飯 と 卵 の 料理 	TKG 
ガッツリ お腹 いっぱい 卵 料理 	オムライス 
高級 な 日本 の ご飯 	筍 ご飯 
濃厚 な サラダ 	シーザー サラダ 
イタリアン サラダ 	生 ハム サラダ 
韓国 サラダ 	チョレギ サラダ 
日本 の サラダ 	和風 サラダ 
中華 サラダ 	春雨 サラダ 
トマト が 沢山 食べ たい 	トマト 鍋 
女子 会 で 鍋 	豆乳 鍋 
スペイン 料理 で お つまみ 	アヒージョ 
貝類 で 日本 食 	あさり の 味噌 汁 
お腹 ぺこぺこ で 倒れ そう 	牛丼 
ガッ ツい て 食べ たい 	タ ー キー レッグ 
お 子 様 ランチ 	チキン ライス 
暑く て 喉 が 渇い た 	アイス クリーム 
暑く て 贅沢 に 美味しい もの 食べ たい 	ピスタチオ ジェラート 
お 酒 の つまみ 	ピスタチオ 
お 酒 の つまみ 	生 ハム 
お 酒 の つまみ で チーズ 	カマンベール チーズ 
お 酒 の つまみ で がっつり 	焼き鳥 
お 酒 の つまみ で お 肉 	砂肝 
お 酒 の つまみ で 干物 	帆立 の 貝柱 
お 酒 の つまみ で 甘い もの 	チョコレート 
お 酒 の つまみ で さっぱり 	漬物 
お 酒 の つまみ で お洒落 な やつ 	燻製 
ダイエット し てる ランチ 	ささみ と ブロッコリー サラダ 
とにかく 痩せ たい ご飯 	ブロッコリー と ささみ サラダ 
何 か 頑張っ た 時 の ご 褒美 夕ご飯 	すき焼き 
ご 褒美 ディナー 	ステーキ 
ひと 工夫 加え た お 米 	焼きおにぎり 
王道 ピザ 	マルゲリータ 
疲れ た けど お腹 すい た 	宅配 ピザ 
バジル たっぷり パスタ 	ジェノベーゼ 
綺麗 な 見 た 目 で 和食 	巻き寿司 
光り物 の お 寿司 	鯖 の バッテラ 
とにかく 頑張っ た 時 の 贅沢 ご飯 	焼肉 
甘い 気分 で 栗 が 好き 	モン ブラン 
甘い 気分 で ケーキ が 食べ たい 	ショート ケーキ 
甘い 気分 の 豪華 な ケーキ 	フルーツ タルト 
ガッツリ 食べ たい 美味しい パン 	明太 子 フランス 
ご 褒美 ご飯 で ガッツリ 揚げ物 	唐揚げ 
滅多 に 食べ ない けど 美味しい 日本 食 	ちらし寿司 
スパイス が 効い てる ガッツリ 王道 ご飯 	カレー 
あと もう 一 品 追加 で 食べ たい 	稲荷寿司 
ガッツリ し た 韓国 料理 	石焼 ビビンバ 
子供 が 好き な おやつ 	りんご 
夏 の 暑い 日 に 食べ たい 	かき氷 
美味しい 鶏肉 料理 	つくね 
ガッツリ 食べ たい 揚げ物 	コロッケ 
お やつ に 揚げ物 	サラダ コロッケ 
お やつ に 揚げ物 	サーターアンダギー 
肉 料理 で 揚げ物 	メンチカツ 
お 酒 が 入っ た お 菓子 	ラムレーズンサンド 
小腹 が 空い た 時 食べ たい おやつ 	羊羹 
小腹 が すい た 時 食べ たい おやつ 	もなか 
屋台 に ある 麺 の ご飯 	焼きそば 
仕事 の 合間 に ちょっと 摘み たい お 菓子 	チョコ チップ クッキー 
一休み し たい 時 摘み たい 	せんべい 
ガッツリ 食べ たい 鶏肉 料理 	親子 丼 
食欲 が ない 時 に スルッ と 食べ たい 	そば 
ガッツリ お腹 すい た 時 の 麺 	油そば 
濃厚 な 重い 麺 	味噌 ラーメン 
はち切れ そう な 位 お腹 いっぱい に なり たい 時 	二郎 系 ラーメン 
美味しい 麺 料理 	ちゃんぽん 
野菜 も 食べ たい し 肉 も 食べ たい なぁ 	タ コライス 
食べ歩き で 肉 を 食べ たい 	タ コス 
臭い の が 癖 に なる 沖縄 料理 	ゴーヤ チャンプル 
麺 の 美味しい 韓国 料理 	チャプチェ 
海老 が 沢山 食べ たい 中華 料理 	エビチリ 
海老 が 沢山 食べ たい 中華 料理 	エビ マヨ 
サラッ と 食べ たい デザート 	杏仁 豆腐 
海鮮 たっぷり な 中華 料理 	上海 焼きそば 
ご飯 が 何 倍 で も 食べれる 中華 料理 	麻婆 豆腐 
ナス が 沢山 食べ たい 中華 料理 	麻婆 茄子 
贅沢 な ガッツリ 中華 料理 	北京 ダック 
中華 の おやつ 	ごま 団子 
エビ と ご飯 の 中華 料理 	エビ チャーハン 
野菜 が 食べれる 中華 料理 	高菜 炒飯 
とろとろ な 麺 料理 	あんかけ 焼きそば 
とろとろ な 炒飯 	あんかけ 炒飯 
野菜 も 食べれ て ガッツリ 中華 料理 	中華 丼 
夏 に 辛い スッキリ 中華 料理 	坦々 麺 
サラッ と 食べれ て 夏 に 嬉しい 麺 料理 	冷麺 
ガッツリ 野菜 が 沢山 食べ たい 	回鍋肉 
体育 祭 の 打ち上げ で ご飯 	焼肉 
大会 後 に みんな で ご飯 に いき たい 	焼肉 
いっぱい たべ て 、 気合い を 入れ たい 	焼肉 
文化 祭 後 に みんな で たべる 	鉄板 焼き 
みんな で 囲ん で ご飯 を 食べる 	鉄板 焼き 
下町 で 懐かしい 味 を 食べ たい 	鉄板 焼き 
暑い けど さっぱり お 肉 食べ たい 	冷しゃぶ 
ポン酢 と 一緒 に 食べれる もの 	しゃぶしゃぶ 
ご まだれ と 一緒 に 食べれる もの 	しゃぶしゃぶ 
韓国 好き な 人 と 美味しい お 米 料理 食べ たい 	石焼 ビビンバ 
焼肉 と 合わせ て ご飯 も 食べ ちゃい たい 気分 	石焼 ビビンバ 
がっつり お 米 食べ たい けど 、 野菜 も 少し 食べ たい 	高菜 炒飯 
テレビ で 早稲田 特集 し て た 	油そば 
油っこく 麺 食べ たい 	油そば 
コンビニ で プチ ご 褒美 	スイート ポテト 
頑張っ た から 甘い もの 食べ たい 	スイート ポテト 
さつま いも で お 菓子 作り たい 	スイート ポテト 
秋 らしい ご飯 を 食べ たい 	栗ごはん 
栗 たべ たい な 	栗ご飯 
お 正月 に 栗 食べ たい 	栗 きんとん 
サクサク で ホクホク な もの 	コロッケ 
ジャガイモ を アレンジ し て 食べ たい 	コロッケ 
お 家 で 楽しむ 中華 料理 	餃子 
ラーメン だけ じゃ も のたり ない 	餃子 
炒飯 に プラス し て 食べれる もの 	餃子 
ご飯 に 合う お 豆腐 を 使っ た 料理 	麻婆 豆腐 
お 豆腐 を 食べれる 中華 料理 	麻婆 豆腐 
ホクホク で 美味しい もの 	肉じゃが 
ホクホク な 家庭 料理 	肉じゃが 
優しい 味つけ 料理 	肉じゃが 
食べ て 幸せ な 気分 に なれる 	フレンチ トースト 
食 パン を おしゃれ に 食べ たい 	フレンチ トースト 
蜂蜜 と 合わせ て パン を 食べる 	フレンチ トースト 
子ども の 日 の 夜ご飯 	オムライス 
ケチャップ で 文字 書き たい 	オムライス 
初めて 作る 料理 	カレー ライス 
忙しい 昼 に 作る 夜ご飯 	カレー ライス 
昨日 の カレー の 残り で 昼ごはん 	カレー うどん 
じゃがいも と にんじん を 食べ たい 	カレー ライス 
チーズ が とろーり し て いる 感じ 	いももち 
チーズ 味 の おやつ 	チーズ ケーキ 
トースター で 作れる お つまみ 	ちくわ の 磯部 焼き 
ちくわ を 美味しく 食べ たい 	ちくわ の 磯部 焼き 
お 弁当 に 入っ て いる おかず 	ちくわ の 磯部 焼き 
ハンバーガー の お とも に 	フライド ポテト 
たまに は 揚げ物 買っ て 帰り たい 	フライド ポテト 
ピザ パーティー に おまけ 	フライド ポテト 
やみつき に なる チキン 	ヤンニョムチキン 
ピリ辛 な 韓国 料理 	ヤンニョムチキン 
手 で がっつり 食べ たい 	ヤンニョムチキン 
新 大久保 で チーズ と 一緒 に 食べれる もの 	ヤンニョムチキン 
今日 は 帰り が 遅い けど ご飯 食べ たい 	お 茶漬け 
夜中 に 勉強 し て たら お腹 すい た 	お 茶漬け 
チーズ と お 米 食べ たい 	ドリア 
日本 食 の 代表 料理 	お 寿司 
少し 高級 な お 店 で 落ち着い て 食べ たい 	お 寿司 
なんに も やる気 が 出 ない 日 に 食べる ごはん 	唐揚げ 
甘酢 に 合う おかず 	唐揚げ 
暑い 日 に 目 が 覚める もの 	かき氷 
こってり 系 麺類 	ラーメン 
熱々 な 麺 食べ たい 	ラーメン 
チャーシュー と 相性 良い もの 	ラーメン 
タンパク 質 豊富 な 和食 	焼き魚 定食 
こってり 系 イタリアン 	カルボナーラ 
甘い 系 で ランチ 	フレンチ トースト 
大 人数 で 食べ たい 	ピザ 
短 時間 で さっ と 食べ たい 	お にぎり 
お腹 に 優しめ 	お 粥 
疲れ に 効く ご飯 	薬膳 鍋 
野菜 豊富 な 麺 系 	ちゃんぽん 
がっつり パワー つけ たい 	ステーキ 
贅沢 し たい 	お 寿司 
エスニック 系 	バインミー 
パクチー 入っ てる の 	フォー 
北海道 気分 	スープ カレー 
甘辛い やつ 	ヤンニョムチキン 
さっぱり ねばねば 系 	とろろそば 
桃 の 節句 だ な 	ちらし寿司 
ふわふわ し た やつ 	パンケーキ 
ノスタルジー に 浸り たい 	揚げ パン 
代表 的 な 日本 食 	寿司 
お 米系 で 贅沢 	海鮮 丼 
貧血 が ひどい 	レバニラ 炒め 
牛肉 手軽 に 食べ たい 	牛丼 
仙台 ！ 	牛タン 
エビ が 食べ たい 	エビチリ 
さっぱり 麺類 	冷麺 
体調 悪め か も 	お 粥 
明太 子 食べ たい な 	もん じゃ 
軽く 胃 に 優しい もの 食べ たい 	お でん 
野菜 不足 か も 	野菜 炒め 
ジャンキー な の 食べ たい 	フライド チキン 
卵 を 摂取 し たい 	オムライス 
贅沢 ご飯 	すき焼き 
パイ 生地 	コーニッシュパスティ 
お つまみ 健康 	塩 キャベツ 
トマト 系 歯ごたえ 	ラザニア 
誰 で も 食べ られる 	お にぎり 
簡単 	インスタント ラーメン 
日本 っぽい もの 	お 寿司 
ガッツリ 食べ たい 	肉 丼 
デート 	フレンチ コース 
お つまみ 美味しい 	アボカド 塩 昆布 あ え 
お つまみ おしゃれ 	オリーブ の 実 
ワン プレート 朝ごはん 	イングリッシュ ブレックファースト 
簡単 朝ごはん 	パンケーキ 
テイクアウト 冬 	お でん 
テイクアウト コンビニ 	肉まん 
健康 思考 	サラダ ラップ 
便秘 解消 	ヨーグルト 
痩せ たい 	こんにゃく 
片手 で 食べ られる 	ハンバーガー 
お やつ 	フライド ポテト 
ちょっと 食べ たい 	焼き鳥 
パプリカ が 沢山 食べ たい 	青椒肉絲 
ガッツリ し た 中華 料理 	餃子 
煮込み 料理 で ガッツリ 	豚 の 角煮 
ちょっと 贅沢 し たい 気分 	うな重 
いつ も と 少し 違う もの が 食べ たい 	インド カレー 
ダイエット し たい けど お腹 すい た 	生 春巻き 
お 母 さん の 味 	肉じゃが 
中華 料理 の 前菜 	棒 棒 鶏 
海老 が 好き 	エビ マヨ 
中華 料理 で ガッツリ 食べ たい 	天津 飯 
中華 料理 の スープ 	サンラータン 
お 弁当 に ちょっと 付け加え たい 	焼売 
肉 が ガッツリ 食べ たい 	ロースト ビーフ 
辛い もちもち し た 軽食 	トッポギ 
鶏肉 が ガッツリ 食べ たい 	チキン 南蛮 
ガッツリ 肉 の 韓国 料理 	サムギョプサル 
寒い 時 に コンビニ で 食べ たい 	お でん 
豚肉 が 食べ たい けど 野菜 も 食べ たい 日 	しゃぶしゃぶ 
ガッツリ ジャンク フード 	ビックマックセット 
鶏肉 の 揚げ物 	チキン ナゲット 
暑い 日 に 食べ たい 甘く て 冷たい 	キャラメル マキアート 
実家 に 帰り たく なる 煮物 	筑前 煮 
ひと 工夫 加え た スープ 	豚汁 
沢山 野菜 が 食べ たい 	豚汁 
正月 に 食べる 	おせち 
作る の が 大変 	おせち 
お腹 いっぱい に なる 汁物 	けんちん 汁 
お腹 いっぱい に なる 汁物 	豚汁 
青森 に 行っ た 気分 に なれる ガッツリ 鍋 	きりたんぽ 
甘く て ガッツリ し た もの 	ぜんざい 
お腹 いっぱい に なる おやつ 	お はぎ 
小豆 が 好き な 人 の おやつ 	ぜんざい 
小豆 が 好き な 人 の おやつ 	お はぎ 
きな粉 が 食べ たい 時 の おやつ 	きな粉 おはぎ 
きな粉 が 食べ たい 時 の おやつ 	団子 
餅 が 好き で お腹 いっぱい に なり たい 時 の おやつ 	梅ヶ枝 餅 
簡単 に 作れ て 沢山 食べ たい 	ハヤシ ライス 
ガッツリ 食べ たい 	グラタン 
クリーム ソース が 食べ たい 時 	グラタン 
お 米 と 一緒 に 辛い もの が 食べ たい 	辛子 明太 子 
スペイン 料理 が 食べ たい 	パエリア 
片手 で 食べれる ジャンク フード 	ホット ドック 
肉 が 食べ たい 気分 	ハンバーグ 
もう 一 品 付け たい 時 	海老 フライ 
満足 感 が 得 られる 	ビーフ シチュー 
沢山 食べ たい 	クリーム シチュー 
揚げ物 が 食べ たく て 和食 	天ぷら 
食欲 が あまり ない 時 つるっ と 食べれる 	うどん 
食欲 が ない 時 食べれる 	そうめん 
大根 が 沢山 食べ たい 煮物 	ぶり 大根 
大根 が 沢山 食べ たい 	ふろふき 大根 
朝ご飯 に 食べ たい 	納豆 
朝ご飯 に お 米 と 食べ たい 	卵かけ ご飯 
がっつり 揚げ物 で 肉 	とん かつ 
いつ も と 違う 夕ご飯 	お好み焼き 
大 人数 で ワイワイ 食べ たい 	もん じゃ 
大阪 名物 	お好み焼き 
大阪 名物 	たこ焼き 
いつ も と 違う お 米 	炊き込み ご飯 
あと 一 品 足り ない 時 の 和食 料理 	茶碗 蒸し 
お 寿司 と 一緒 に 食べ たい 	茶碗 蒸し 
二 日 酔い の 時 	お 茶漬け 
食欲 が ない 時 	お 茶漬け 
トマト が 食べ たい 時 の イタリアン 	ナポリタン 
寒い 日 に スープ が 飲み たい 	コーン ポタージュ 
和風 で イタリアン 	たら こ パスタ 
辛い もの が 食べ たい 時 の イタリアン 	ペペロンチーノ 
満足 感 が 得 られる 肉 と キャベツ 料理 	ロール キャベツ 
卵 料理 で ガッツリ 食べ たい 	キッシュ 
1 月 に 食べ たい 	おせち 
2 月 に 食べ たい 	恵方 巻き 
3 月 に 食べ たい 	ちらし寿司 
4 月 に 食べ たい 	ロール キャベツ 
7 月 に 食べ たい 	うなぎ 
8 月 に 食べ たい 	冷やし 中華 
9 月 に 食べ たい 	栗ご飯 
10 月 に 食べ たい 	パンプキン パイ 
11 月 に 食べ たい 	ビーフ シチュー 
12 月 に 食べ たい 	タ ー キー レッグ 
胃 が 疲れ た 時 	お 粥 
野菜 と 一緒 に 食べ たい 	しゃぶしゃぶ 
時間 が ある 時 の 優雅 な 朝ご飯 	フレンチ トースト 
ホテル の モーニング 	スクランブル エッグ 
とにかく 中華 料理 が 食べ たい 	麻婆 豆腐 
中国 に 行っ た 気分 に なれる 	火鍋 
ベーシック な 洋食 	ハンバーグ 
暑い の で サッパリ 	そうめん 
節分 の ご飯 	恵方 巻き 
クリスマス の ご 馳走 	フライド チキン 
長野 を 感じ たい 	野沢 菜 の お やき 
辛い の ガッツリ 食べ たい 	チゲ 鍋 
早く 起きれ た から ゆっくり 朝ごはん を 食べれる 	目玉 焼き 
寝坊 し た から 急い で ご飯 	お にぎり 
朝ごはん の 定番 の お とも 	納豆 
お腹 の 調子 が 良く ない 	納豆 
やる こと が 何 も 終わら ない 日 	お にぎり 
今日 は パン を 食べ たい 気分 	メロン パン 
ポケモン シール 欲しい な 	蒸し パン 
柔らかい パン を 食べ たい 	蒸し パン 
季節 の 風味 を 感じ れる パン を 食べ たい 	蒸し パン 
友達 の 家 で 女子 会 	チゲ 鍋 
辛い もの好き な 友達 と 鍋 食べる 	チゲ 鍋 
あつあつ の 刺激 つ よめな ご飯 	チゲ 鍋 
辛い 系 で 野菜 も 食べ たい 	チゲ 鍋 
こんにゃく 食べ たい 	お でん 
寒い から とにかく あったまり たい 	お でん 
いろいろ な 具材 と 合わせ て 食べれる 汁物 	お でん 
たまに は 屋台 で 食べ て 帰り たい 	お でん 
挑戦 し て み たい 料理 	タイ 料理 
野菜 を 摂取 し たい けど 野菜 を 食べる 気分 じゃ ない 	野菜 スムージー 
バイト 終わり 	水 ゼリー 
眠い 	パピ コ ( チョコ コーヒー ) 
夏 に 運動 し て 汗 を かい た 後 さっぱり し たい 	そうめん 
牛乳 を 消費 し たい 	クリーム シチュー 
暑い さっぱり 	パピ コ ( ホワイト サワー ) 
部活 の 前 に 適度 に ご飯 たべ たい 	そうめん 
運動 し た 後 で 食欲 が 旺盛 	豚丼 
寝 ながら 	パピ コ ( チョコ コーヒー ) 
冬 の 部活 帰り 	コンビニ の 肉まん 
夏 の 部活 帰り 	パピ コ ( チョコ コーヒー ) 
腸内 環境 を 良く し たい 	納豆 キムチ 
ちくわ ぶ を 食べ たい 	お でん 
アイス を 食べ たい 	パピ コ ( チョコ コーヒー ) 
血液 を サラサラ に し たい 	玉ねぎ 
夏 に 公園 で 遊ん でる 時 ちょっと 休憩 し たい 	クーリッシュ ( バニラ ) 
プール 帰り 	アイス 
友達 と シェア し たい 	パピ コ ( チョコ コーヒー ) 
豪快 に いき たい 気分 	ステーキ 
シナモン を 摂取 し たい 	シナモン ロール 
ちょこっと 食べ たい 	パピ コ ( チョコ コーヒー ) 
汗かき たい 	キムチ 鍋 
汗かき たく ない 	パピ コ ( チョコ コーヒー ) 
流行 って そう な もの を 食べ たい 	シカゴ ピザ 
グリコ 応援 し たい 	パピ コ ( チョコ コーヒー ) 
クセ が 強い もの 食べ たい 	パクチー 
腸内 環境 を 良く し たい 	納豆 キムチ 
体調 を 良く し たい 	納豆 キムチ 
肌荒れ を 治し たい 	納豆 キムチ 
クセ が 強い もの 食べ たい 	パクチー 
台湾 の 気分 	パクチー 
納豆 と 合わせ たい 	パクチー 
エスニック な もの 食べ たい 	パクチー 
ちょっと 辛い もの が 食べ たい 	カレー ライス 
タクシー に 乗る チャンス	終電 を 逃し た
再 放送 ある よ	見 たかっ た ドラマ を 見逃し た
電気 代 が えぐい ね	エアコン を 消し 忘れ た
たま に は 休憩 も 必要 だ よ	宿題 忘れ た
ライヴビューイング や 配信 を 待と う 。	チケット 売り切れ て た
係 の 人 に 正直 に 話そ う	チケット 忘れ た
でも その 食材 が 欠け て い て も 美味しい でしょ ？	食材 買い 忘れ た
それだけ 疲れ て い た ん だ よ	寝過ごし た
追いかけよ う ！ ！	犬 が 脱走 し た
逃し た 魚 は 大きい ぞ ！	魚 を 逃し た
心配 し て くれ てる ん だ ね	宿題 やっ た ? と 何 回 も 聞か れ て 鬱陶しい
汗 が べたべた する よ ね	暑 さ が 鬱陶しい
可愛い じゃ ない の	息子 が 遊び に 連れ て いけ と 鬱陶しい
大変 だ ね	セールス が 鬱陶しい
人 の 命 を 救っ て いる ん だ よ 。	サイレン が 鬱陶しい
言わ れ て いる うち が 華 だ よ	何 度 も 同じ 話 を し て き て 鬱陶しい
無視 しよ う	近所 の おばさん が 鬱陶しい
とりあえず 1 つ の 命令 を 実行 しよ う	次 から 次 へ と 命令 さ れ て 鬱陶しい
遮断 し ましょ う	連絡 よこせ と 鬱陶しい
消費 期限 が 大丈夫 なら 大丈夫 ！	賞味 期限 が 切れ て い た
靴 に 水 が 染み こむ でしょ ？ あたりまえ 体操 ～	水 溜り に 入っ た
マジ 萎える よ ねぇ	鳥 の フン が かかっ た
イヤ フォン で 遮断 し ましょ う	爆音 宣伝 トラック が 通り かかっ た
しんどい よ ね	満員 電車
なん そいつ	足 踏ま れ た
アポ なし でも 行ける っしょ ？	予約 し 忘れ た
タイミング 悪し だ ね	洗濯 物干し た 瞬間 雨 が 降っ て き た
ぴえん 越え て ぱおん	高級 パンケーキ 焦がし た
大丈夫 ？ ？	頭 が 痛い
痛い やつ やん ( T - T )	靴擦れ し た
は よ 寝 ！ ！	風邪 かも
痛い やつ やぁ	タンス の 角 に 足 の 小指 を ぶつけ た
ホットアイマスク 使い や	画面 を 見 すぎ て 、 目 疲れ た
頭痛 が 痛い って っ ！ あんた …	頭痛 が 痛い
一番 冷める やつ やん ！	ナルシスト
(-_-;)	ノンスタ 井上
…	狩野 英孝
荷物 を 置い て 家 に 財布 を 取り に 行き ましょ う 。	外食 し た 後 に 財布 が ない こと に 気付い た
えっ ？ ！ やばい やん ・ ・ ・	スマホ を 無くし た
充電 器 貸そ う か ？	スマホ の 充電 が 切れ た
千 円 貸す よ	改札 で お金 が ない こと に 気づい た
大切 な 物 だ から 是非 買っ て 欲しい な ～	レンジ が なく て 困っ た
〇 〇 線 なら 迂回 し て 行ける よ	電車 が 止まっ た
女子 は ねぇ …	トイレ が 混雑 し て い た
笑 笑	私服 で 会場 に 行っ たら 皆 スーツ だっ た
何 食べ た ん ？ ？	部屋 中 が ニンニク くさい
え え え え え え ぇ ！ ？ どんな 状況 ？ ？ ！	転ん で ズボン が 破け た
う わぁ ～ 痕 残ら なかっ た ？ ？	ミート ソース を こぼし た
あら まっ ！	逆 向き の 電車 に 乗っ た
三 戸 な つめ ちゃん だ ね ！	前髪 を 切り すぎ た
ハハハハハハ 笑	砂糖 と 塩 を 間違え た
やらかし た な	彼女 の 名前 を 呼び 間違え た
仕方 ない	人 の 名前 を 忘れ た
漫画 家 よ ！ ！ ！	食パン かじっ て 出かけ たら 角 で 人 と ぶつかっ た
それだけ 疲れ て い た ん だ よ 仲 が いい って	先輩 に対し 「 OK 」 と 返事 し て しまっ た
そんな とき も ある よ ね	勉強 の やる気 が 起き ない
あたい も …	メイク が 上手 に でき ない
分かり み が 深 いっ ！ ！ ！ ！	ダイエット を し たい の に 食べ て しまう
冬眠 の 季節 だ もん	寒い から 布団 から 出 たく ない
幸せ 者 や ねっ ！	推し の イベント が 多く て 楽しく て 仕方 ない
私 、 粒 あん 派	粒 餡 派 が 少数 で 辛い
食べ よっ ！ 食べ よっ ！	食べ たい もの が 多 すぎ て 辛い
いや いやいや ・ ・ ・ ！	モテ 期 で 辛い
いい ん じゃ ね ？	悩み が ない
レコ 大 に は 当選 し た ？	紅白 に 落選 し た
大丈夫 。 YouTube 見 ましょ う 。	手越 くん 、 卒業 し ちゃっ た
ミカン 缶 食べ て 元気 出し て	落ち た
次 は 間に合う よ 。	間に合わ なかっ た
私 にとって は あなた の 存在 は 十分 濃い よ 。	存在 が 薄く て 悲しい
実家 に 帰っ た だけ だ よ 。 また 帰っ て くる よ 。	かぐ や 姫 が 月 に 帰っ た
本人 が 決め た こと を 尊重 しよ う 。	卒業 ラッシュ で 悲しい
社会 人 に なっ たら 又 一人暮らし できる よ 。	1 人 暮らし が 終わっ て 悲しい
請求 しよ う ！	取っ て おい た プリン を 食べ られ た
練習 は 無駄 じゃ ない よ	甲子園 を 逃し た
Me , too	社会 人人 生 不安
できる よ ！	友達 できる か な
イケイケ どんどん	来週 、 面接 だ
私 も 分から ない ！ おそろい だ ね ！	全然 、 わから ない
貯金 箱 買お う	貯金 できる か な
貯金 箱 ある から 大丈夫 ！	お金 貯まる か な
いける っしょ ！	仕事 覚え られる か な
飲み ニケーション ！	同期 と 仲良く なれる か な
大丈夫 ！	てる のち ゃんいじけてないかな …
怒っ て なかっ た よ ！	てる の ちゃん の 名前 を 勝手 に 使っ た こと 怒っ てる か な …
笑 笑	裏 アカ が ばれ た
そんな とき も ある よ ね ！	いい ね が もらえ ない
気 に し ない 、 気 に し ない	SNS で 悪口 を 書か れ た
何 っ ？！？！？！	乗っ取ら れ た
その 方 が いい よ ！ 口 は 災い 元 だ から ！	思っ た こと を 気軽 に つぶ やけ ない とき が ある
そのうち 返信 来る よ ！	既 読無 視 さ れ た
こっち も 楽しも う ！	楽し そう な 投稿 が うらやましい
著作 権 侵害 だ ！ ！	勝手 に 写真 が 使わ れ た
設定 だ ね	LINE の 通知 が こ ない
どんな ギャグ ？ ？	ギャグ が 寒い
冬 だ ね ～	風 が 吹い て い て 寒い
どんな ポーズ ？ ？	ポーズ が 寒い
暖か そう な 服 を おすすめ しよ う 。	見 て い て 寒い
寒色 も 良い ぞ 。	服 の 色 が 寒 そう
暖かい 服 を 着せよ う	着 て いる 服 が 寒 そう
リアクション 芸人 か ！	冬 の 海 に 飛び込ん で い て 寒 そう
朝 まで 一緒 に 遊ぼ	終電 を 逃し た
見逃し 配信 ある よ	見 たかっ た ドラマ を 見逃し た
帰っ て き たら 部屋 暖かい ね	エアコン を 消し 忘れ た
雨 振ら なけれ ば 大丈夫	洗濯 物 しまい 忘れ た
今日 は 早く 帰ろ っ か	ドア の 鍵 を し 忘れ た
先生 に お願い し て み よ	課題 の 締め切り 忘れ て た
たぶん 大丈夫	賞味 期限 が 切れ て い た
それ は どん まい	水 溜り に 入っ た
それ も どん まい	鳥 の フン が かかっ た
難し すぎる って 先生 に 言っ ちゃお	課題 が 難し すぎる
それ は つらい	急 に 雨 が 降っ て き た
イヤ ホン 買っ ちゃお	イヤ ホン の 充電 が ない
そういう 日 も ある	寝坊 し た
かゆみ 止め ある よ	蚊 に 刺さ れ た
絆創膏 ある よ	靴擦れ し た
たくさん 寝 な	風邪 かも
それ は 痛い やつ	タンス の 角 に 足 の 小指 を ぶつけ た
早く 寝 な	画面 を 見 すぎ て 、 目 疲れ た
足もと 気 を つけ て	転ん だ
鏡 ある よ	目 に まつげ が 入っ た
皮膚 科 行こ	ニキビ でき た
一緒 に 探そ	スマホ を 無くし た
充電 器 買お	スマホ の 充電 が 切れ た
貸し て あげよ う	改札 で お金 が ない こと に 気づい た
貸し て あげよ う	財布 を 忘れ た
それ は 頑張れ	お金 が 全然 ない
わかる	志望 動機 が 特に ない
徹夜 だ ！ ！	課題 の 提出 日 まで 課題 を やる 日 が ない
それ は どん まい	ミート ソース を こぼし た
時々 ある よ ね	逆 向き の 電車 に 乗っ た
すぐ 伸びる よ	前髪 を 切り すぎ た
それ は どう しよう も ない	砂糖 と 塩 を 間違え た
ミルク ティー が 飲め ない 、 、	牛乳 買い 忘れ た
まさに 今 の 自分	課題 の 締め切り 間違え て た
あと の 予定 は ごめんなさい	予定 が ダブっ た
メイク 動画 の おすすめ ある よ	メイク が 上手 に でき ない
めっちゃ わかる	ダイエット を し たい の に 食べ て しまう
布団 出る 前 に 部屋 を 暖め て おく の いい よ	寒い から 布団 から 出 たく ない
いつも そう	課題 の やる気 が 出 ない
みんな そう	働き たく ない
あんまり 興味 ない	手越 くん 、 卒業 し ちゃっ た
何 に ？	落ち た
何 に ？	間に合わ なかっ た
課題 なんて そんな もん	課題 が 全然 でき ない
それ は 悲しい	ライブ の 抽選 落ち た
引退 し ない で ほしい	寺田 蘭 世 さん が 芸能 界 から 引退 し ちゃう
みんな ずっと い て	乃木坂 46 の 卒業 ラッシュ が すごい
たぶん 大丈夫	友達 できる か な
頑張れ	明日 、 面接 だ
なんとか なる よ	行き たい ところ に 就職 できる か な
たぶん ある	雇っ て くれる 会社 ある か な
そこ 気 に し なく て 大丈夫	いい ね が もらえ ない
ブロック し ちゃえ	SNS で 悪口 を 書か れ た
今度 遊ぼ	楽し そう な 投稿 が うらやましい
それ は 怒ろ う	勝手 に 写真 が 使わ れ た
誰 に でも ある	急 に 全て が めんどくさく なる とき が ある
迎え に 行っ て あげる よ	終電 を 逃し た
別 の 面白い ドラマ 見よ う	見 たかっ た ドラマ を 見逃し た
そんな とき も ある よ	エアコン を 消し 忘れ た
とりあえず 出し て おこ う	課題 を 提出 し 忘れ た
きっと 当日 券 が ある よ	ライブ の チケット 抽選 申し込み 忘れ た
もう 一 回 聞き に 行こ う	話 を 聞き 逃し た
まだ 食べ られる よ	賞味 期限 が 切れ て い た
あと で 靴 洗お う	水 溜り に 入っ た
それ は 最悪 だ ね	鳥 の フン が かかっ た
来年 頑張ろ う	単位 とれ なかっ た
もっと いい 人 いる よ	彼氏 に 振ら れ た
失敗 を 生かそ う	仕事 で 失敗 し た
ご 愁傷 様 です	身内 が 亡くなっ た
絆創膏 どうぞ	靴擦れ し た
薬 飲ん で 休ん で ね	風邪 かも
痛 そう	タンス の 角 に 足 の 小指 を ぶつけ た
